Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
17012,2017,2/20/2018,Franklin,66 BALTIC RD,184620,250000.0,0.7384,,,25 - Other,SOLD TO RENTER NOT ON MARKET,,
19013,2019,10/11/2019,Farmington,21 FOREST ST,145420,136250.0,1.0673,Single Family,Single Family,14 - Foreclosure,,,POINT (-72.88563 41.75197)
210366,2021,7/21/2022,New Canaan,165 OLD KINGS HWAY,646310,1480000.0,0.4366,Residential,Single Family,,,,POINT (-73.474671996 41.136917011)
170186,2017,7/26/2018,Tolland,58 SUGAR BUSH LANE,428200,490000.0,0.873877551,Single Family,Single Family,14 - Foreclosure,,,
160169,2016,9/18/2017,Prospect,9 ELAINE CT,247130,349300.0,0.707500716,Single Family,Single Family,,,,POINT (-72.96283 41.48149)
1900304,2019,6/3/2020,West Haven,996-1006 CAMPBELL AVE,783790,3750000.0,0.209,,,25 - Other,,DOES NOT INCLUDE ASSESSMENT FOR ALL PROPERTIES,
21060,2021,11/15/2021,Bethel,83 SOUTH STREET,185990,370000.0,0.5026,Residential,Two Family,,,,POINT (-73.415604976 41.369886017)
19063,2019,12/20/2019,Darien,182 HOLLOW TREE RIDGE ROAD,499520,850000.0,0.5877,Single Family,Single Family,,,,POINT (-73.49894 41.07154)
200100,2020,11/9/2020,Norwich,7 PENOBSCOT ST,57400,116000.0,0.4948,Residential,Single Family,,,,POINT (-72.06649 41.52362)
210132,2021,2/17/2022,Windsor Locks,2 CHAPMAN CHASE UNIT 13,200550,380000.0,0.5277,Residential,Condo,,,,POINT (-72.644470752 41.93859484)
171334,2017,6/18/2018,Milford,103 BURNT PLAINS RD,222620,380000.0,0.5858,Single Family,Single Family,,,,
180061,2018,1/18/2019,Oxford,14 CARRIAGE DR,209700,378550.0,0.5539,Single Family,Single Family,,,,
181242,2018,5/15/2019,Bridgeport,19 JETLAND PLACE,156500,260000.0,0.6019,Three Family,Three Family,,,,
18181,2018,4/25/2019,Montville,8 MCINTOSH AVE,90690,180000.0,0.503833333,Single Family,Single Family,07 - Change in Property,RENOVATION BATHROOM & KITCHEN,,
160028,2016,4/13/2017,Kent,2 BALD HILL RD,251200,620000.0,0.40516129,Single Family,Single Family,,,,
200197,2020,9/13/2021,Woodstock,7 BIG HORN LN,146900,465000.0,0.315913978,Residential,Single Family,22 - Money and Personal Property,WATERFRONT RANCH,BEING SOLD COMPLETELY FURNISHED PER MLS,POINT (-72.06319 41.95544)
160850,2016,4/17/2017,Middletown,40 ANNELLO WAY,264500,415000.0,0.637349398,Single Family,Single Family,,,,
170723,2017,6/20/2018,West Hartford,43 FERNWOOD ROAD,433510,640000.0,0.6773,Single Family,Single Family,,,,
20000086,2020,11/30/2020,Brookfield,779 FEDERAL RD,516250,750000.0,0.6883,Commercial,,,,,
19000222,2019,4/8/2020,Cheshire,247 N BROOKSVALE RD,156060,259900.0,0.6005,Single Family,Single Family,,,,
190073,2019,11/26/2019,Newington,133 CANDLEWYCK DR,201910,317500.0,0.6359,Single Family,Single Family,,,,
180900,2018,9/6/2019,Hamden,45 WEST MEADOW RD,229180,288000.0,0.7957,Single Family,Single Family,,,,
160379,2016,4/20/2017,West Haven,234 WEST WALK,72380,70000.0,1.034,Condo,Condo,18 - In Lieu Of Foreclosure,,,
200061,2020,10/22/2020,Torrington,17 CANTERBURY CT,109360,194000.0,0.5637,Residential,Single Family,,,,
16332,2016,6/16/2017,Ridgefield,109 SOUNDVIEW RD,571140,995000.0,0.574,Single Family,Single Family,07 - Change in Property,,,
180015,2018,10/1/2018,Fairfield,70 MASON STREET,255430,475000.0,0.5377,Two Family,Two Family,,,,POINT (-73.22443 41.1756)
201399,2020,7/14/2021,Greenwich,15 GREENWICH HILLS DRIVE,424620,705000.0,0.6022,Residential,Condo,,,,POINT (-73.66455 41.02659)
200700,2020,7/13/2021,Enfield,8 SHANNON DR,161590,310000.0,0.5212,Residential,Single Family,,,,
210010,2021,12/27/2021,Warren,92 REED RD,245100,465000.0,0.527096774,Residential,Single Family,,,,POINT (-73.368221993 41.742489986)
200298,2020,12/23/2020,New Haven,7 HILLSIDE AV,101150,220000.0,0.4597,Residential,Single Family,,,,POINT (-72.8917 41.28296)
180131,2018,11/20/2018,Fairfield,119 OLD DAM ROAD,410900,410000.0,1.0021,Single Family,Single Family,14 - Foreclosure,,,
200406,2020,7/1/2021,Madison,32 LAKEWOOD DR,288200,372500.0,0.773691275,Residential,Single Family,25 - Other,sale by exec of estate,,POINT (-72.66656 41.40408)
160404,2016,7/14/2017,Rocky Hill,25A HIGHCREST DRIVE,132720,160000.0,0.8295,Condo,Condo,14 - Foreclosure,SALE OF FORECLOSED PROPERTY,,
20493,2020,9/3/2021,Bethel,517 COPPER SQUARE DRIVE,204890,395000.0,0.5187,Residential,Condo,,,,POINT (-73.38434 41.41659)
18777,2018,7/10/2019,Hartford,193 MOUNTAIN ST,42490,155000.0,0.2741,Single Family,Single Family,,,,POINT (-72.70176 41.72721)
167375,2016,6/26/2017,Bridgeport,1535 OLD TOWN RD,118150,200100.0,0.590454773,Single Family,Single Family,14 - Foreclosure,,,
170098,2017,2/12/2018,Avon,143 DEEPWOOD DRIVE,200600,228000.0,0.8798,Single Family,Single Family,,,,
210512,2021,7/15/2022,Branford,250 NO MAIN ST,863800,2000000.0,0.4319,Commercial,,25 - Other,COMMERCIAL VACANT LAND/PRIVATE SALE/SOLD TO LLC THAT WAS CLEARING THE LOT,,POINT (-72.803603022 41.290135456)
18791,2018,7/15/2019,Hartford,69 TOWER AVE,42455,175000.0,0.2426,Single Family,Single Family,,,,
19535,2019,9/14/2020,Ridgefield,3 WHITE BIRCHES RD,407080,251500.0,1.6186,Single Family,Single Family,06 - Portion of Property,,,POINT (-73.44319 41.2638)
190348,2019,7/13/2020,Vernon,140 DOCKEREL RD,165370,250000.0,0.6615,Single Family,Single Family,,,,
180394,2018,6/18/2019,Branford,70 ORCHARD HEIGHTS,99900,157000.0,0.6363,Condo,Condo,,,,
200693,2020,8/9/2021,Trumbull,46 TURNER AVE,284200,490000.0,0.58,Residential,Single Family,,,,
170163,2017,5/4/2018,Ledyard,1951 ROUTE 12,105070,114850.0,0.9148,Single Family,Single Family,,,,
20034,2020,10/8/2020,Southbury,98 SHANE DR,320470,570000.0,0.5622,Residential,Single Family,,,,
20190,2020,12/1/2020,Hartford,76 MANSFIELD ST,50225,190000.0,0.2643,Residential,Two Family,,,,POINT (-72.68656 41.78584)
161117,2016,6/29/2017,Norwalk,96 FAWN RIDGE LN,209430,360000.0,0.58175,Condo,Condo,,,,
170134,2017,7/16/2018,Easton,61 WEDGEWOOD DRIVE,327520,367500.0,0.8912,Single Family,Single Family,,,,
16096,2016,7/5/2017,North Stonington,296 PENDLETON HILL,215740,349900.0,0.616576165,Single Family,Single Family,,,,
190046,2019,4/13/2020,Washington,35 SOUTH ST,435880,955000.0,0.4564,Single Family,Single Family,,,,
18288,2018,5/22/2019,Newtown,42 OLD GREEN ROAD,462150,640000.0,0.722109375,Single Family,Single Family,,RELOCATION COMPANY,ALSO SEE #18293,
200525,2020,7/29/2021,Vernon,8 STONE ST,90510,160000.0,0.5656,Residential,Two Family,,,,
171524,2017,6/15/2018,Bridgeport,214 COLORADO AVE,83520,150000.0,0.5568,Two Family,Two Family,,,,
210260,2021,5/31/2022,Ledyard,4 THOMPSON ST,129990,265000.0,0.4905,Residential,Single Family,,,,POINT (-71.974512996 41.43377502)
180792,2018,2/28/2019,Milford,300 MEADOWSIDE RD UNIT 112,63150,95000.0,0.6647,Condo,Condo,,,,
190918,2019,9/11/2020,Hamden,4 PLEASANT DR,88230,112500.0,0.7843,Single Family,Single Family,,,,
210230,2021,5/16/2022,Berlin,25 WINDY KNOLL DR,266200,475000.0,0.5604,Residential,Single Family,,,,POINT (-72.744673021 41.603206015)
21000206,2021,9/14/2022,Granby,52 NORTHWOODS RD,244510,487500.0,0.5015,Residential,Single Family,,,,POINT (-72.854956991 42.030922003)
170833,2017,8/20/2018,Killingly,77 BOYS AVE,67830,52000.0,1.3044,Two Family,Two Family,14 - Foreclosure,,,
200233,2020,8/24/2021,East Windsor,3 EASTWOOD DR,145210,310377.0,0.4678,Residential,Single Family,,,,POINT (-72.52123 41.9193)
20382,2020,4/28/2021,Southbury,34 D HERITAGE VILLAGE,50810,137000.0,0.370875912,Residential,Condo,,,,POINT (-73.22514 41.48981)
170160,2017,3/2/2018,Madison,17 HARBOR AVE,254600,430000.0,0.592,Single Family,Single Family,,,,
170033,2017,10/13/2017,Meriden,31 SUNSET DR,93100,165000.0,0.564242424,Single Family,Single Family,,,,
170909,2017,5/9/2018,Naugatuck,46 POND STREET,66780,88444.0,0.755,Two Family,Two Family,25 - Other,MULTIPLE PARCELS INCLUDED IN THE SALE,,POINT (-73.05961 41.48729)
190968,2019,9/15/2020,New Britain,120A-104 CLINIC DR,28350,45000.0,0.63,Condo,Condo,,,,
210132,2021,6/3/2022,Old Lyme,22 COULT LA,235800,365000.0,0.646,Residential,Single Family,01 - Family,,,POINT (-72.343050024 41.347933016)
170207,2017,11/6/2017,Bridgeport,60 MARION ST,114230,180000.0,0.634611111,Single Family,Single Family,,,,POINT (-73.20314 41.19896)
200568,2020,9/9/2021,Guilford,80 WAUWINET TR,70630,135000.0,0.5231,Residential,Condo,,,,
21294,2021,3/14/2022,Newtown,7 SHAMROCK LANE,233030,300000.0,0.7767,Residential,Single Family,01 - Family,,,POINT (-73.290192007 41.380173001)
210056,2021,6/7/2022,North Canaan,336 NORFOLK RD,200580,418000.0,0.479856459,Residential,Two Family,25 - Other,MULTIPLE PARCELS,,POINT (-73.267223999 42.011024999)
200379,2020,11/9/2020,Waterbury,62 SUFFOLK ST,89320,65000.0,1.3741,Residential,Single Family,25 - Other,INCLDS VAC LOT ASSESSED AT 22250,,POINT (-73.05725 41.58226)
200665,2020,5/4/2021,Norwich,15 JONES CT,83500,185000.0,0.4513,Residential,Single Family,,,,POINT (-72.10363 41.51333)
180874,2018,8/12/2019,New Haven,393 HUNTINGTON ST,61810,57500.0,1.0749,Single Family,Single Family,14 - Foreclosure,,,
200518,2020,1/21/2021,Danbury,34A PADANARAM RD 233,74600,180000.0,0.4144,Residential,Condo,,H10080-54,,POINT (-73.46066 41.41545)
210021,2021,10/25/2021,Canton,15 ROCKLEDGE LANE,211610,370900.0,0.5705,Residential,Condo,,,,POINT (-72.932161024 41.832438997)
171553,2017,9/11/2018,Norwalk,ROWAYTON WOODS DR GARAGE 81,13860,441000.0,0.031428571,Condo,Condo,25 - Other,5-80-200-81 - SALES PRICE INCLS UNIT 12188,,
200030,2020,10/29/2020,Essex,65 MAIN ST UNIT 11,126700,205000.0,0.618,Residential,Condo,,RIVERSEDGE,,
200149,2020,10/28/2020,Milford,131 MIDWOOD RD,207230,400500.0,0.5174,Residential,Single Family,,,,
1900233,2019,11/14/2019,Stamford,193 SYLVAN KNOLL ROAD,11259520,239900.0,46.9342,,,08 - Part Interest,SYLVAN KNOLL SECTION II INC CO-OPERATIVE,,
160267,2016,6/27/2017,New London,280 GARDNER AVE A4,50470,44000.0,1.147045455,Condo,Condo,14 - Foreclosure,HUD SALE,,POINT (-72.10298 41.32309)
160146,2016,1/9/2017,Trumbull,10 ELAINE PLACE,207480,284000.0,0.73056338,Single Family,Single Family,14 - Foreclosure,FNMA SALE,,
180354,2018,9/30/2019,Ledyard,32 MEETINGHOUSE LN,98280,198900.0,0.4941,Single Family,Single Family,,,,
210145,2021,12/15/2021,Westport,34 CRESCENT ROAD,323100,650000.0,0.497,Residential,Single Family,,,,POINT (-73.343307038 41.140219984)
210077,2021,10/13/2021,Bridgeport,33 RICHFIELD RD,158630,343000.0,0.4624,Residential,Single Family,,,,POINT (-73.235763029 41.227085)
170152,2017,5/1/2018,Seymour,878A SOUTH MAIN ST,2660,165000.0,0.0161,,,17 - Two Towns,,,
160229,2016,1/31/2017,West Haven,68 FOURTH AVE,98770,189000.0,0.522592593,Single Family,Single Family,,,,
161072,2016,7/20/2017,Middletown,105 GROVE ST,126550,145000.0,0.872758621,Three Family,Three Family,,,,
2001074,2020,3/1/2021,Stamford,44 STRAWBERRY HILL AVE # 7E,145510,208000.0,0.6995,Residential,Condo,,,,POINT (-73.53322 41.06128)
200681,2020,7/6/2021,Enfield,113 MAPLE ST,2452400,7500000.0,0.3269,Commercial,,03 - Inter Corporation,,,POINT (-72.54098 41.9991)
171607,2017,9/24/2018,Norwalk,77 ROTON AVE,1291620,2208125.0,0.5849,Single Family,Single Family,,6-10-14-0,,
190506,2019,12/23/2019,Bridgeport,90 PUTNAM ST,96780,155000.0,0.6244,Two Family,Two Family,,,,
170761,2017,6/21/2018,Stratford,1437 BROADBRIDGE AVE,189980,316000.0,0.601202532,Two Family,Two Family,,,,
180433,2018,6/27/2019,Groton,31 & 0 GRAVEL ST,1146390,1750000.0,0.655,Single Family,Single Family,,"2 PARCELS - ASSMT 31 GRAVEL=$1,108,450 & 0 GRAVEL=$37,940",,POINT (-71.96845 41.35819)
202579,2020,6/30/2021,Norwalk,26A WILSON AVE,1145510,2000000.0,0.5727,Residential,Single Family,,6-13C-21-0,,
20365,2020,4/14/2021,Southbury,967 B HERITAGE VILLAGE,57300,169000.0,0.339053254,Residential,Condo,07 - Change in Property,,TOTAL RENOVATION PER MLS,
190627,2019,4/22/2020,Danbury,169 BRENTWOOD CI,18200,417863.0,0.0436,Condo,Condo,07 - Change in Property,NEW CONSTRUCTION / B16001-12,,
200133,2020,1/26/2021,New London,92 NORWOOD AVE,103110,187000.0,0.5513,Residential,Single Family,,,,
180409,2018,4/10/2019,Shelton,20 RUGBY RD,149520,226600.0,0.6598,Single Family,Single Family,,,,
161132,2016,5/8/2017,Bridgeport,236 HUNTINGTON TPK,163930,255000.0,0.642862745,Single Family,Single Family,,,,
180762,2018,2/14/2019,Bridgeport,283 HOOKER RD,115700,220000.0,0.5259,,,,,,POINT (-73.16967 41.21874)
190173,2019,8/11/2020,Litchfield,7 STAGE COACH LN,122700,375000.0,0.3272,Single Family,Single Family,07 - Change in Property,,NEW CONSTRUCTION,
161340,2016,8/16/2017,Norwalk,25 RIDGEWOOD RD,679100,1335750.0,0.508403519,Single Family,Single Family,,,,
21046,2021,3/11/2022,Durham,65 WILLIAM DR,151200,225000.0,0.672,Residential,Single Family,01 - Family,ESTATE / FAMILY SALE,,POINT (-72.695770987 41.459593001)
20068,2020,11/18/2020,Watertown,153 BUNKER HILL RD,129100,225000.0,0.5737,Residential,Single Family,,,,POINT (-73.0949 41.57628)
190673,2019,7/17/2020,Manchester,731 HILLSTOWN ROAD,288000,423500.0,0.68,Single Family,Single Family,,,,
170264,2017,4/17/2018,Cheshire,70 SOUTHWICK # 101,87410,135000.0,0.6474,Condo,Condo,,,,
2100020,2021,10/5/2021,Naugatuck,39 GENERAL DALTON DRIVE,121500,240000.0,0.5062,Residential,Single Family,,,,POINT (-73.036487975 41.467604005)
180276,2018,9/4/2019,Clinton,41 MORGAN PK,391200,570000.0,0.6863,Single Family,Single Family,,,,
211272,2021,8/26/2022,Bristol,104 FOXWOODS RD,192360,365000.0,0.527,Residential,Single Family,,,,POINT (-72.901085034 41.714183)
200624,2020,3/31/2021,New Haven,234 HOWARD AV,190960,440000.0,0.434,Apartments,,,,,
170216,2017,5/1/2018,New London,83 MANSFIELD RD 101,30660,3266250.0,0.009386912,Condo,Condo,06 - Portion of Property,MULTIPLE UNITS SOLD,,
190164,2019,1/13/2020,Glastonbury,32 WESTVIEW LN,189700,260000.0,0.7296,Single Family,Single Family,,,,
170119,2017,3/26/2018,Clinton,14 ROCKY LEDGE DR,149700,305000.0,0.4908,Single Family,Single Family,,,,POINT (-72.53706 41.30459)
180896,2018,7/26/2019,Bristol,43 WILLCOX ST,90650,103500.0,0.875845411,Single Family,Single Family,14 - Foreclosure,,PURCHASE OF A FORECLOSED PROPERTY,
210476,2021,12/20/2021,Norwalk,32 STRAWBERRY HILL AVE,293040,490000.0,0.598,Residential,Single Family,,3-16-6-0,,POINT (-73.400234996 41.106977021)
2100553,2021,7/26/2022,Naugatuck,39 HORTON HILL RD 9G,58420,145000.0,0.4028,Residential,Condo,,,,POINT (-73.008019008 41.470477991)
200090,2020,11/12/2020,Windsor,32 ETHAN DR,207690,260000.0,0.7988,Residential,Single Family,25 - Other,NOT OPEN MARKET,,POINT (-72.69009 41.89559)
160056,2016,2/13/2017,Weston,26 BUTTONBALL LANE,484600,525000.0,0.923047619,Single Family,Single Family,,,,
211064,2021,3/2/2022,Bridgeport,63 NORLAND AVE,190280,409000.0,0.4652,Residential,Single Family,,,,POINT (-73.206747981 41.215620987)
18217,2018,5/20/2019,Montville,48 FOWLER DR,92260,135000.0,0.6834,Single Family,Single Family,,,,
160966,2016,8/14/2017,Danbury,195 STADLEY ROUGH RD,177200,325000.0,0.545230769,Single Family,Single Family,,K04026,,
191570,2019,8/31/2020,Waterbury,213 EASTON AVE,56760,170000.0,0.3339,Two Family,Two Family,25 - Other,INCLDS VAC LOT ASSESSED AT 9670,,
200130,2020,1/21/2021,Wolcott,137 GARRIGUS CT,122120,142700.0,0.855781359,Residential,Single Family,,non MLS sale; no market time or sales or financing concession data available,,
18160261,2018,6/6/2019,Redding,63 SEVENTY ACRE RD,375700,479000.0,0.7843,Single Family,Single Family,,,,
180156,2018,6/14/2019,Winchester,367 PLATT HILL RD,149590,232500.0,0.6433,Single Family,Single Family,,,,
21019,2021,12/2/2021,Salisbury,14 FURNACE ROAD,150000,410000.0,0.3658,Residential,Single Family,,,,POINT (-73.392820029 41.938978979)
171749,2017,9/20/2018,Milford,0 WHEELERS FARMS RD,2565280,3276000.0,0.783,,,,,,
18774,2018,9/19/2019,West Haven,37 MEADOWBROOK RD,127050,199900.0,0.6355,Single Family,Single Family,,,,
160638,2016,9/14/2017,South Windsor,29 PARKVIEW DR,149900,196728.0,0.76196576,Single Family,Single Family,01 - Family,,,
170088,2017,11/13/2017,Norwich,17 CARIBOU DR,115800,225000.0,0.5146,Single Family,Single Family,,,,
190058,2019,12/9/2019,Plymouth,63 NORTH ST,217780,359000.0,0.6066,Single Family,Single Family,,,,
180591,2018,9/13/2019,Groton,62 PEARL ST,296520,262500.0,1.1296,Single Family,Single Family,08 - Part Interest,OTHER 50% INTEREST,,
190584,2019,9/1/2020,Glastonbury,37 SULKY LN,250400,405000.0,0.6183,Single Family,Single Family,,,,
2002212,2020,7/27/2021,Stamford,128 CUMMINGS POINT ROAD,1960930,4025000.0,0.4871,Residential,Single Family,,,,
200605,2020,7/7/2021,Trumbull,23 CLARK RD,249830,558000.0,0.4477,Residential,Single Family,,,,POINT (-73.22203 41.25903)
20201,2020,5/24/2021,Winchester,183 STANTON AVENUE,138040,225000.0,0.6135,Residential,Single Family,,,,
170303,2017,4/24/2018,Groton,100 PHOENIX DR,159670,286000.0,0.5582,Single Family,Single Family,,,,
180249,2018,5/23/2019,Westport,2 INDIAN HILL ROAD,699300,969000.0,0.7216,Single Family,Single Family,,,,POINT (-73.37635 41.12377)
211346,2021,7/19/2022,Norwalk,100 SEAVIEW AVE 3H,335310,500000.0,0.6706,Residential,Condo,,,,POINT (-73.405562031 41.097340012)
170325,2017,11/28/2017,Bridgeport,3205 MADISON AVE UNIT #27,88320,135000.0,0.654222222,Condo,Condo,,,,
200212,2020,9/29/2021,Easton,65 GATE RIDGE ROAD,305250,525000.0,0.5814,Residential,Single Family,,,,
210786,2021,4/26/2022,Bristol,78 FLEETWOOD RD,144130,285000.0,0.5057,Residential,Single Family,,,,POINT (-72.90874601 41.717352994)
18000123,2018,3/1/2019,Brookfield,1 HAMLIN CT,457320,640000.0,0.7145,Single Family,Single Family,,,,
160399,2016,6/14/2017,Glastonbury,126 GEORGETOWN DR,131300,208000.0,0.63125,Condo,Condo,,,,
170142,2017,11/30/2017,Hamden,118 EARL AVENUE,164640,240000.0,0.686,Single Family,Single Family,01 - Family,,,
192114,2019,6/22/2020,Bridgeport,51 EVANS ST,83740,129900.0,0.6446,Single Family,Single Family,,,,
171288,2017,5/3/2018,Bridgeport,107 AMERIDGE DR UNIT 607,56460,106000.0,0.5326,Condo,Condo,,,,
17066,2017,7/9/2018,Lisbon,4 PENNY LANE,186280,230000.0,0.809913043,Single Family,Single Family,14 - Foreclosure,,,
170035,2017,12/15/2017,Weston,12 WINTHROP HILL,1128500,1475000.0,0.765084746,Single Family,Single Family,,,,
160779,2016,5/2/2017,Waterbury,798 WOODTICK RD,70390,60500.0,1.163471074,Single Family,Single Family,14 - Foreclosure,,,
180901,2018,6/25/2019,Danbury,106 POWELL ST,161400,170000.0,0.9494,Single Family,Single Family,14 - Foreclosure,SALE OF FORECLOSURE / I05159,,
211194,2021,9/23/2022,Southington,350 NORTH STAR DR,365200,745000.0,0.4902,Residential,Single Family,,,,POINT (-72.834597012 41.601071982)
200905,2020,7/29/2021,Norwich,2 STONYRIDGE RD,144600,315000.0,0.459,Residential,Single Family,,,,
190244,2019,5/26/2020,New London,310 VAUXHALL ST,93600,67600.0,1.3846,Single Family,Single Family,08 - Part Interest,,,POINT (-72.11434 41.36644)
200067,2020,12/14/2020,Westbrook,29 LINDEN AVE N,24050,49995.0,0.481,Residential,Single Family,,MOBILE HOME,,
200063,2020,1/13/2021,Middlebury,125 RIDGEWOOD DR,144800,364738.0,0.3969,Residential,Condo,07 - Change in Property,,,POINT (-73.13528 41.51198)
201374,2020,8/17/2021,Danbury,19 TRIANGLE ST 2,93100,212000.0,0.4391,Residential,Condo,,J15028-2,,POINT (-73.43891 41.38945)
210120,2021,4/7/2022,Portland,47 RIVERVIEW ST,166250,267492.0,0.6215,Commercial,,,003-0003,,POINT (-72.629306015 41.562548001)
